"filename", "language", "Python", "pip requirements", "Properties", "MS SQL", "Batch", "PowerShell", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\database\conexion.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\main.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 6, 5, 21
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\cita.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\cliente.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\pago.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\producto.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\promocion.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\usuario.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\requirements.txt", "pip requirements", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\sql\belleza_db_completa.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\sql\datos_ejemplo.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyQt5\QAxContainer.pyi", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 23, 20, 108
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyQt5\Qt5\qml\QtQuick\Controls\Private\CalendarUtils.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 48, 74, 16, 138
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyQt5\Qt5\qml\QtQuick\Controls\Private\StackView.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 23, 38, 6, 67
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyQt5\Qt5\qml\QtQuick\Controls\Private\style.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 18, 38, 7, 63
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyQt5\Qt5\qml\QtTest\testlogger.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 47, 42, 8, 97
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyQt5\QtBluetooth.pyi", "Python", 1238, 0, 0, 0, 0, 0, 0, 0, 22, 177, 1437
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyQt5\QtCore.pyi", "Python", 9022, 0, 0, 0, 0, 0, 0, 0, 25, 1032, 10079
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyQt5\QtDBus.pyi", "Python", 432, 0, 0, 0, 0, 0, 0, 0, 22, 95, 549
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyQt5\QtDesigner.pyi", "Python", 354, 0, 0, 0, 0, 0, 0, 0, 23, 114, 491
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyQt5\QtGui.pyi", "Python", 8383, 0, 0, 0, 0, 0, 0, 0, 23, 932, 9338
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyQt5\QtHelp.pyi", "Python", 223, 0, 0, 0, 0, 0, 0, 0, 23, 69, 315
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyQt5\QtLocation.pyi", "Python", 1038, 0, 0, 0, 0, 0, 0, 0, 22, 226, 1286
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyQt5\QtMultimedia.pyi", "Python", 2148, 0, 0, 0, 0, 0, 0, 0, 23, 418, 2589
