"filename", "language", "Python", "MS SQL", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-03_21-57-11\details.md", "Markdown", 0, 0, 909, 0, 0, 6, 915
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-03_21-57-11\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 6, 15
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-03_21-57-11\diff.md", "Markdown", 0, 0, 12, 0, 0, 7, 19
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-03_21-57-11\results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-03_21-57-11\results.md", "Markdown", 0, 0, 172, 0, 0, 7, 179
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\database\conexion.py", "Python", 19, 0, 0, 0, -1, 1, 19
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\database\test_conexion.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\main.py", "Python", 19, 0, 0, 0, -4, 4, 19
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\producto.py", "Python", 89, 0, 0, 0, 0, 12, 101
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\servicio.py", "Python", 67, 0, 0, 0, 3, 13, 83
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\usuario.py", "Python", 35, 0, 0, 0, 0, 7, 42
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\sql\belleza_db_completa.sql", "MS SQL", 0, 93, 0, 0, 14, 12, 119
