"filename", "language", "Python", "reStructuredText", "HTML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\details.md", "Markdown", 0, 0, 0, 940, 0, 0, 6, 946
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\diff-details.md", "Markdown", 0, 0, 0, 104, 0, 0, 6, 110
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\diff.md", "Markdown", 0, 0, 0, 36, 0, 0, 7, 43
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\results.md", "Markdown", 0, 0, 0, 180, 0, 0, 7, 187
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\build\main\xref-main.html", "HTML", 0, 0, 7298, 0, 0, 0, 1540, 8838
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\main.py", "Python", 0, 0, 0, 0, 0, -1, 0, -1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\cita.py", "Python", 87, 0, 0, 0, 0, 3, 17, 107
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\cliente.py", "Python", 7, 0, 0, 0, 0, 2, 1, 10
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\empleado.py", "Python", 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\pago.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\session.py", "Python", 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\usuario.py", "Python", 64, 0, 0, 0, 0, 2, 16, 82
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\__init__.py", "Python", 14, 0, 0, 0, 0, 21, 10, 45
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\__main__.py", "Python", 217, 0, 0, 0, 0, 47, 58, 322
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\_recursion_too_deep_message.py", "Python", 25, 0, 0, 0, 0, 10, 11, 46
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\_shared_with_waf.py", "Python", 50, 0, 0, 0, 0, 25, 12, 87
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\archive\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\archive\pyz_crypto.py", "Python", 4, 0, 0, 0, 0, 10, 3, 17
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\archive\readers.py", "Python", 141, 0, 0, 0, 0, 54, 44, 239
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\archive\writers.py", "Python", 268, 0, 0, 0, 0, 95, 61, 424
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\api.py", "Python", 928, 0, 0, 0, 0, 253, 144, 1325
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\build_main.py", "Python", 838, 0, 0, 0, 0, 246, 187, 1271
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\datastruct.py", "Python", 322, 0, 0, 0, 0, 60, 78, 460
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\icon.py", "Python", 56, 0, 0, 0, 0, 20, 15, 91
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\makespec.py", "Python", 745, 0, 0, 0, 0, 89, 76, 910
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\osx.py", "Python", 335, 0, 0, 0, 0, 316, 86, 737
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\splash.py", "Python", 327, 0, 0, 0, 0, 71, 60, 458
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\splash_templates.py", "Python", 136, 0, 0, 0, 0, 60, 34, 230
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\templates.py", "Python", 109, 0, 0, 0, 0, 10, 8, 127
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\utils.py", "Python", 554, 0, 0, 0, 0, 159, 122, 835
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\compat.py", "Python", 499, 0, 0, 0, 0, 157, 114, 770
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\config.py", "Python", 30, 0, 0, 0, 0, 12, 15, 57
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\configure.py", "Python", 72, 0, 0, 0, 0, 19, 17, 108
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\depend\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\depend\analysis.py", "Python", 685, 0, 0, 0, 0, 185, 133, 1003
