Date : 2025-05-15 20:12:39
Directory : c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza
Total : 1304 files,  47288 codes, 21300 comments, 13363 blanks, all 81951 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |      1,297 |     38,699 |     21,300 |     11,777 |     71,776 |
| HTML             |          1 |      7,298 |          0 |      1,540 |      8,838 |
| Markdown         |          4 |      1,260 |          0 |         26 |      1,286 |
| reStructuredText |          1 |         30 |          0 |         20 |         50 |
| JSON             |          1 |          1 |          0 |          0 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                 |      1,304 |     47,288 |     21,300 |     13,363 |     81,951 |
| . (Files)                                                                                                                                                                         |          1 |          0 |         -1 |          0 |         -1 |
| .VSCodeCounter                                                                                                                                                                    |          5 |      1,261 |          0 |         26 |      1,287 |
| .VSCodeCounter\2025-05-06_03-09-56                                                                                                                                                |          5 |      1,261 |          0 |         26 |      1,287 |
| build                                                                                                                                                                             |          1 |      7,298 |          0 |      1,540 |      8,838 |
| build\main                                                                                                                                                                        |          1 |      7,298 |          0 |      1,540 |      8,838 |
| models                                                                                                                                                                            |          6 |        184 |          7 |         36 |        227 |
| venv                                                                                                                                                                              |      1,274 |     38,371 |     21,275 |     11,771 |     71,417 |
| venv\Lib                                                                                                                                                                          |      1,274 |     38,371 |     21,275 |     11,771 |     71,417 |
| venv\Lib\site-packages                                                                                                                                                            |      1,274 |     38,371 |     21,275 |     11,771 |     71,417 |
| venv\Lib\site-packages (Files)                                                                                                                                                    |          2 |      6,260 |        748 |      1,432 |      8,440 |
| venv\Lib\site-packages\PyInstaller                                                                                                                                                |        538 |     19,956 |     10,808 |      6,066 |     36,830 |
| venv\Lib\site-packages\PyInstaller (Files)                                                                                                                                        |          9 |      1,005 |        311 |        269 |      1,585 |
| venv\Lib\site-packages\PyInstaller\archive                                                                                                                                        |          4 |        414 |        159 |        109 |        682 |
| venv\Lib\site-packages\PyInstaller\building                                                                                                                                       |         11 |      4,350 |      1,285 |        811 |      6,446 |
| venv\Lib\site-packages\PyInstaller\depend                                                                                                                                         |          8 |      2,654 |        814 |        648 |      4,116 |
| venv\Lib\site-packages\PyInstaller\fake-modules                                                                                                                                   |          5 |        466 |        146 |        147 |        759 |
| venv\Lib\site-packages\PyInstaller\fake-modules (Files)                                                                                                                           |          1 |        132 |         33 |         47 |        212 |
| venv\Lib\site-packages\PyInstaller\fake-modules\_pyi_rth_utils                                                                                                                    |          4 |        334 |        113 |        100 |        547 |
| venv\Lib\site-packages\PyInstaller\hooks                                                                                                                                          |        459 |      2,305 |      5,483 |      1,756 |      9,544 |
| venv\Lib\site-packages\PyInstaller\hooks (Files)                                                                                                                                  |        352 |      1,627 |      4,005 |      1,275 |      6,907 |
| venv\Lib\site-packages\PyInstaller\hooks\pre_find_module_path                                                                                                                     |          6 |         58 |         61 |         31 |        150 |
| venv\Lib\site-packages\PyInstaller\hooks\pre_safe_import_module                                                                                                                   |         81 |        216 |      1,003 |        241 |      1,460 |
| venv\Lib\site-packages\PyInstaller\hooks\rthooks                                                                                                                                  |         20 |        404 |        414 |        209 |      1,027 |
| venv\Lib\site-packages\PyInstaller\isolated                                                                                                                                       |          3 |        344 |        110 |        118 |        572 |
| venv\Lib\site-packages\PyInstaller\lib                                                                                                                                            |          7 |      2,220 |        554 |        537 |      3,311 |
| venv\Lib\site-packages\PyInstaller\lib (Files)                                                                                                                                    |          2 |         30 |          1 |         21 |         52 |
| venv\Lib\site-packages\PyInstaller\lib\modulegraph                                                                                                                                |          5 |      2,190 |        553 |        516 |      3,259 |
| venv\Lib\site-packages\PyInstaller\loader                                                                                                                                         |          6 |        700 |        272 |        227 |      1,199 |
| venv\Lib\site-packages\PyInstaller\utils                                                                                                                                          |         26 |      5,498 |      1,674 |      1,444 |      8,616 |
| venv\Lib\site-packages\PyInstaller\utils (Files)                                                                                                                                  |          6 |      1,101 |        321 |        304 |      1,726 |
| venv\Lib\site-packages\PyInstaller\utils\cliutils                                                                                                                                 |          6 |        346 |         71 |         87 |        504 |
| venv\Lib\site-packages\PyInstaller\utils\hooks                                                                                                                                    |          8 |      2,913 |      1,127 |        794 |      4,834 |
| venv\Lib\site-packages\PyInstaller\utils\hooks (Files)                                                                                                                            |          6 |      1,958 |        448 |        549 |      2,955 |
| venv\Lib\site-packages\PyInstaller\utils\hooks\qt                                                                                                                                 |          2 |        955 |        679 |        245 |      1,879 |
| venv\Lib\site-packages\PyInstaller\utils\win32                                                                                                                                    |          6 |      1,138 |        155 |        259 |      1,552 |
| venv\Lib\site-packages\_pyinstaller_hooks_contrib                                                                                                                                 |        672 |      4,458 |      8,761 |      2,516 |     15,735 |
| venv\Lib\site-packages\_pyinstaller_hooks_contrib (Files)                                                                                                                         |          2 |         31 |         27 |         12 |         70 |
| venv\Lib\site-packages\_pyinstaller_hooks_contrib\pre_find_module_path                                                                                                            |          1 |          0 |         11 |          1 |         12 |
| venv\Lib\site-packages\_pyinstaller_hooks_contrib\pre_safe_import_module                                                                                                          |          3 |         34 |         42 |         12 |         88 |
| venv\Lib\site-packages\_pyinstaller_hooks_contrib\rthooks                                                                                                                         |         15 |        181 |        233 |         91 |        505 |
| venv\Lib\site-packages\_pyinstaller_hooks_contrib\stdhooks                                                                                                                        |        648 |      3,598 |      8,414 |      2,379 |     14,391 |
| venv\Lib\site-packages\_pyinstaller_hooks_contrib\utils                                                                                                                           |          3 |        614 |         34 |         21 |        669 |
| venv\Lib\site-packages\altgraph                                                                                                                                                   |          7 |      1,346 |         63 |        344 |      1,753 |
| venv\Lib\site-packages\bcrypt                                                                                                                                                     |          2 |         40 |         11 |          4 |         55 |
| venv\Lib\site-packages\ordlookup                                                                                                                                                  |          3 |        547 |          0 |          9 |        556 |
| venv\Lib\site-packages\packaging                                                                                                                                                  |         16 |      4,257 |        585 |        893 |      5,735 |
| venv\Lib\site-packages\packaging (Files)                                                                                                                                          |         14 |      3,422 |        546 |        861 |      4,829 |
| venv\Lib\site-packages\packaging\licenses                                                                                                                                         |          2 |        835 |         39 |         32 |        906 |
| venv\Lib\site-packages\win32ctypes                                                                                                                                                |         34 |      1,507 |        299 |        507 |      2,313 |
| venv\Lib\site-packages\win32ctypes (Files)                                                                                                                                        |          5 |         17 |         28 |          8 |         53 |
| venv\Lib\site-packages\win32ctypes\core                                                                                                                                           |         21 |        714 |        148 |        281 |      1,143 |
| venv\Lib\site-packages\win32ctypes\core (Files)                                                                                                                                   |          3 |         46 |         15 |         21 |         82 |
| venv\Lib\site-packages\win32ctypes\core\cffi                                                                                                                                      |          9 |        343 |         67 |        146 |        556 |
| venv\Lib\site-packages\win32ctypes\core\ctypes                                                                                                                                    |          9 |        325 |         66 |        114 |        505 |
| venv\Lib\site-packages\win32ctypes\pywin32                                                                                                                                        |          4 |        384 |         30 |        108 |        522 |
| venv\Lib\site-packages\win32ctypes\tests                                                                                                                                          |          4 |        392 |         93 |        110 |        595 |
| views                                                                                                                                                                             |         17 |        174 |         19 |        -10 |        183 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                          | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\details.md                                                                | Markdown         |        940 |          0 |          6 |        946 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\diff-details.md                                                           | Markdown         |        104 |          0 |          6 |        110 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\diff.md                                                                   | Markdown         |         36 |          0 |          7 |         43 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\results.json                                                              | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\results.md                                                                | Markdown         |        180 |          0 |          7 |        187 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\build\main\xref-main.html                                                                                    | HTML             |      7,298 |          0 |      1,540 |      8,838 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\main.py                                                                                                      | Python           |          0 |         -1 |          0 |         -1 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\cita.py                                                                                               | Python           |         87 |          3 |         17 |        107 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\cliente.py                                                                                            | Python           |          7 |          2 |          1 |         10 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\empleado.py                                                                                           | Python           |         23 |          0 |          1 |         24 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\pago.py                                                                                               | Python           |          1 |          0 |          0 |          1 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\session.py                                                                                            | Python           |          2 |          0 |          1 |          3 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\usuario.py                                                                                            | Python           |         64 |          2 |         16 |         82 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\__init__.py                                                               | Python           |         14 |         21 |         10 |         45 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\__main__.py                                                               | Python           |        217 |         47 |         58 |        322 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\_recursion_too_deep_message.py                                            | Python           |         25 |         10 |         11 |         46 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\_shared_with_waf.py                                                       | Python           |         50 |         25 |         12 |         87 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\archive\__init__.py                                                       | Python           |          1 |          0 |          1 |          2 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\archive\pyz_crypto.py                                                     | Python           |          4 |         10 |          3 |         17 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\archive\readers.py                                                        | Python           |        141 |         54 |         44 |        239 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\archive\writers.py                                                        | Python           |        268 |         95 |         61 |        424 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\__init__.py                                                      | Python           |          0 |          1 |          1 |          2 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\api.py                                                           | Python           |        928 |        253 |        144 |      1,325 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\build_main.py                                                    | Python           |        838 |        246 |        187 |      1,271 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\datastruct.py                                                    | Python           |        322 |         60 |         78 |        460 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\icon.py                                                          | Python           |         56 |         20 |         15 |         91 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\makespec.py                                                      | Python           |        745 |         89 |         76 |        910 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\osx.py                                                           | Python           |        335 |        316 |         86 |        737 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\splash.py                                                        | Python           |        327 |         71 |         60 |        458 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\splash_templates.py                                              | Python           |        136 |         60 |         34 |        230 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\templates.py                                                     | Python           |        109 |         10 |          8 |        127 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\utils.py                                                         | Python           |        554 |        159 |        122 |        835 |
| c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\compat.py                                                                 | Python           |        499 |        157 |        114 |        770 |
