"filename", "language", "Python", "HTML", "MS SQL", "Properties", "Batch", "pip requirements", "PowerShell", "XML", "JavaScript", "reStructuredText", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-03_21-57-11\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 909, 0, 0, 6, 915
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-03_21-57-11\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 6, 15
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-03_21-57-11\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 7, 19
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-03_21-57-11\results.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-03_21-57-11\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 7, 179
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-05_12-37-28\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 861, 0, 0, 6, 867
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-05_12-37-28\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 6, 128
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-05_12-37-28\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 7, 50
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-05_12-37-28\results.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-05_12-37-28\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 7, 173
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 940, 0, 0, 6, 946
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 6, 110
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 7, 43
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\results.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-06_03-09-56\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 7, 187
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-15_20-12-39\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2222, 0, 0, 6, 2228
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-15_20-12-39\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1313, 0, 0, 6, 1319
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-15_20-12-39\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 7, 82
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-15_20-12-39\results.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\.VSCodeCounter\2025-05-15_20-12-39\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 7, 239
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\build\main\xref-main.html", "HTML", 0, 7298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1540, 8838
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\database\conexion.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\database\test_conexion.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\main.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 39
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\cita.py", "Python", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36, 208
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\cliente.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 78
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\empleado.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\pago.py", "Python", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 94
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\producto.py", "Python", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 102
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\promocion.py", "Python", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 107
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\servicio_model.py", "Python", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32, 175
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\session.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\models\usuario.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24, 125
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\sql\belleza_db_completa.sql", "MS SQL", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 120
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\sql\datos_ejemplo.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\test_login.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\__init__.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 10, 45
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\__main__.py", "Python", 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 58, 322
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\_recursion_too_deep_message.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 46
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\_shared_with_waf.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 12, 87
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\archive\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\archive\pyz_crypto.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 17
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\archive\readers.py", "Python", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 44, 239
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\archive\writers.py", "Python", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 61, 424
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\api.py", "Python", 928, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 144, 1325
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\build_main.py", "Python", 838, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 187, 1271
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\datastruct.py", "Python", 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 78, 460
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\building\icon.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 15, 91
